iter	Passed	Remaining
734	1267	456
735	1268	455
736	1270	453
737	1272	451
738	1273	449
739	1274	447
740	1276	446
741	1277	444
742	1279	442
743	1280	440
744	1282	438
745	1283	436
746	1286	435
747	1288	433
748	1289	432
749	1290	430
750	1292	428
751	1293	426
752	1295	424
753	1296	423
754	1298	421
755	1299	419
756	1301	417
757	1303	416
758	1305	414
759	1306	412
760	1308	410
761	1309	409
762	1310	407
763	1312	405
764	1313	403
765	1315	401
766	1317	400
767	1318	398
768	1319	396
769	1320	394
770	1322	392
771	1323	390
772	1324	389
773	1326	387
774	1327	385
775	1328	383
776	1331	382
777	1332	380
778	1334	378
779	1335	376
780	1336	374
781	1338	373
782	1340	371
783	1341	369
784	1343	367
785	1344	366
786	1347	364
787	1348	362
788	1349	360
789	1351	359
790	1352	357
791	1353	355
792	1355	353
793	1356	351
794	1357	350
795	1359	348
796	1362	346
797	1363	345
798	1364	343
799	1366	341
800	1367	339
801	1368	337
802	1369	336
803	1371	334
804	1372	332
805	1373	330
806	1376	329
807	1377	327
808	1379	325
809	1380	323
810	1381	322
811	1383	320
812	1384	318
813	1385	316
814	1387	314
815	1388	313
816	1391	311
817	1392	309
818	1393	308
819	1395	306
820	1396	304
821	1397	302
822	1399	300
823	1400	299
824	1402	297
825	1403	295
826	1406	294
827	1407	292
828	1408	290
829	1410	288
830	1411	287
831	1412	285
832	1413	283
833	1415	281
834	1416	279
835	1417	278
836	1419	276
837	1421	274
838	1423	273
839	1424	271
840	1425	269
841	1427	267
842	1428	266
843	1430	264
844	1431	262
845	1433	260
846	1436	259
847	1438	257
848	1440	256
849	1441	254
850	1442	252
851	1444	250
852	1445	249
853	1447	247
854	1448	245
855	1451	244
856	1453	242
857	1454	240
858	1455	238
859	1457	237
860	1458	235
861	1459	233
862	1460	231
863	1462	230
864	1463	228
865	1465	226
866	1467	225
867	1469	223
868	1470	221
869	1471	219
870	1473	218
871	1474	216
872	1476	214
873	1477	212
874	1479	211
875	1481	209
876	1482	207
877	1483	206
878	1485	204
879	1487	202
880	1488	201
881	1489	199
882	1491	197
883	1492	195
884	1494	194
885	1496	192
886	1497	190
887	1498	189
888	1500	187
889	1501	185
890	1502	183
891	1504	182
892	1505	180
893	1506	178
894	1508	176
895	1510	175
896	1512	173
897	1513	171
898	1515	170
899	1516	168
900	1517	166
901	1519	165
902	1520	163
903	1521	161
904	1523	159
905	1525	158
906	1527	156
907	1528	154
908	1529	153
909	1531	151
910	1532	149
911	1533	147
912	1535	146
913	1536	144
914	1537	142
915	1540	141
916	1541	139
917	1542	137
918	1543	136
919	1545	134
920	1546	132
921	1547	130
922	1549	129
923	1550	127
924	1551	125
925	1552	124
926	1555	122
927	1556	120
928	1558	119
929	1559	117
930	1560	115
931	1562	113
932	1563	112
933	1565	110
934	1566	108
935	1567	107
936	1570	105
937	1571	103
938	1573	102
939	1574	100
940	1575	98
941	1576	97
942	1577	95
943	1579	93
944	1581	92
945	1582	90
946	1584	88
947	1586	87
948	1587	85
949	1589	83
950	1590	81
951	1592	80
952	1593	78
953	1595	76
954	1596	75
955	1597	73
956	1599	71
957	1601	70
958	1603	68
959	1604	66
960	1605	65
961	1607	63
962	1608	61
963	1609	60
964	1611	58
965	1612	56
966	1615	55
967	1616	53
968	1618	51
969	1619	50
970	1620	48
971	1622	46
972	1623	45
973	1625	43
974	1626	41
975	1628	40
976	1630	38
977	1632	36
978	1633	35
979	1634	33
980	1636	31
981	1638	30
982	1639	28
983	1641	26
984	1642	25
985	1644	23
986	1646	21
987	1648	20
988	1649	18
989	1651	16
990	1652	15
991	1654	13
992	1655	11
993	1656	10
994	1658	8
995	1660	6
996	1662	5
997	1663	3
998	1665	1
999	1667	0
